asymmetry_level,case_id,coherence_magnitude,symmetry_gap_mean_abs,observed_hafnian_theta,predicted_uniform_theta,uniform_phase_residual,mean_edge_phase
0.700000,asym_0.70_05,0.9981758883,0.3959768846,-0.0179920138,-0.0171515783,-0.0008404354,-0.0057171928
0.700000,asym_0.70_06,0.9974177892,0.4446210872,-0.0390802767,-0.0406473420,0.0015670653,-0.0135491140
0.700000,asym_0.70_07,0.9963075314,0.3997852718,0.0233279505,0.0243416483,-0.0010136978,0.0081138828
0.700000,asym_0.70_08,0.9978934045,0.3416830798,-0.0825172392,-0.0816100121,-0.0009072271,-0.0272033374
0.700000,asym_0.70_09,0.9962086214,0.4546399570,0.1318009711,0.1324219938,-0.0006210227,0.0441406646
0.700000,asym_0.70_10,0.9973846534,0.3183456792,0.0112157523,0.0134963981,-0.0022806458,0.0044987994
0.700000,asym_0.70_11,0.9986041772,0.4177092666,-0.0548499937,-0.0540953720,-0.0007546216,-0.0180317907
0.700000,asym_0.70_12,0.9962440284,0.4494241634,0.0016439279,-0.0008289970,0.0024729248,-0.0002763323
0.700000,asym_0.70_13,0.9968147244,0.3570340638,-0.1085079794,-0.1096838504,0.0011758710,-0.0365612835
0.700000,asym_0.70_14,0.9969565311,0.4807624127,0.0101504177,0.0066240432,0.0035263745,0.0022080144
0.700000,asym_0.70_15,0.9967256359,0.5456997249,-0.0409624909,-0.0376807537,-0.0032817371,-0.0125602512
0.700000,asym_0.70_16,0.9957527797,0.4287517955,0.0682652168,0.0655183739,0.0027468429,0.0218394580
